ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,entry_sal,positions,lat,lng,mtg30,mtg_by_sal,rent12,rent_by_sal
116,Brownsville,TX,35240,,683,,,31.4,6.2,103350,49968,1,25.998,-97.4565,"$4,781.39 ",10%,8196,16%
110,El Paso,TX,38610,151300,789,77.4,51.6,31.9,4.3,136997,36786,3,31.8479,-106.431,"$6,338.04 ",17%,9468,26%
34,San Antonio,TX,46200,211800,949,80.2,58.6,34.4,3.3,186009,83577,21,29.4658,-98.5254,"$8,605.54 ",10%,11388,14%
101,Killeen,TX,41770,155500,888,,,31.1,4,135104,51142,20,31.0755,-97.7297,"$6,250.46 ",12%,10656,21%
108,Beaumont,TX,47900,,797,,,36.9,6.2,109736,55174,0,30.085,-94.1451,"$5,076.84 ",9%,9564,17%
105,Corpus Christi,TX,44710,,940,,,35.7,5,158264,55890,1,27.7261,-97.3755,"$7,321.94 ",13%,11280,20%
30,Houston,TX,53820,223875,995,78.9,61.5,34,4.3,192681,73062,76,29.7869,-95.3905,"$8,914.21 ",12%,11940,16%
1,Austin,TX,51840,291533,1155,79.7,54.8,34.2,2.9,404317,63924,86,30.3006,-97.7517,"$18,705.35 ",29%,13860,22%
114,New Orleans,LA,43310,193575,947,78.2,61.1,37.7,4.5,225899,53047,5,30.0687,-89.9288,"$10,451.01 ",20%,11364,21%
109,Baton Rouge,LA,44500,179350,873,78.9,57.9,34.9,4.3,189254,58626,13,30.4419,-91.131,"$8,755.66 ",15%,10476,18%
96,Lafayette,LA,39940,165500,769,,,35.4,4.9,172849,55852,4,30.2084,-92.0323,"$7,996.70 ",14%,9228,17%
122,Shreveport,LA,39400,,789,,,36.7,5.2,103134,55397,3,32.4659,-93.7959,"$4,771.40 ",9%,9468,17%
70,Anchorage,AK,58980,259900,1237,9.3,43.9,33.5,6.1,374498,61896,5,61.1508,-149.109,"$17,325.81 ",28%,14844,24%
20,Charlotte,NC,50150,213983,935,70.9,48.7,37.3,3.6,254255,101284,73,35.2079,-80.8304,"$11,762.87 ",12%,11220,11%
31,Winston-Salem,NC,44910,145725,732,69.7,49.4,40.4,3.7,153108,56460,17,36.1029,-80.261,"$7,083.40 ",13%,8784,16%
66,Greensboro,NC,43310,142758,777,69.2,49,38.8,4.1,165533,56735,11,36.0956,-79.8268,"$7,658.23 ",13%,9324,16%
32,Omaha,NE,47660,171164,865,61.8,40.2,35.4,2.9,193769,55609,21,41.2628,-96.0498,"$8,964.54 ",16%,10380,19%
46,Knoxville,TN,43840,172333,779,69.5,48.8,40.5,3.3,200199,60289,6,35.9692,-83.9496,"$9,262.02 ",15%,9348,16%
55,Chattanooga,TN,42870,164550,771,71.6,50.1,40.1,3.5,164328,76631,2,35.0657,-85.2487,"$7,602.48 ",10%,9252,12%
15,Nashville,TN,47110,248883,951,69.7,48.9,36.3,2.8,287500,67187,51,36.1715,-86.7843,"$13,300.92 ",20%,11412,17%
118,Memphis,TN,43950,151900,883,72.4,53.6,35.9,4.1,93598,43121,9,35.1046,-89.9773,"$4,330.23 ",10%,10596,25%
54,Syracuse,NY,49850,132500,804,57.6,38.9,39.2,4.5,98555,58820,13,43.0409,-76.1438,"$4,559.56 ",8%,9648,16%
52,Buffalo,NY,48180,144300,763,56.3,40.2,40.8,4.7,102896,64065,12,42.9017,-78.8487,"$4,760.39 ",7%,9156,14%
58,Rochester,NY,49570,135042,848,57.1,39.3,39.9,4.4,128115,47319,7,43.168,-77.6162,"$5,927.12 ",13%,10176,22%
98,Scranton,PA,41980,100600,745,58.7,40,42.8,5,90374,55851,11,41.4044,-75.6649,"$4,181.07 ",7%,8940,16%
